Tag,FieldName,Description
98,EncryptMethod,0 (Always unencrypted)
108,HeartBtInt,Note same value used by both sides
141,ResetSeqNumFlag,Indicates both sides of a FIX session should reset sequence numbers
553,Username,Specifies a different username of userID to use for authentication (require inbound)
554,Password,Note: minimal security exists without transport-level encryption
925,NewPassword,Specifies a new password when required
58,Text,Free format text string
45,RefSeqNum,MsgSeqNum of rejected message
371,RefTagID,The tag number of the FIX field being referenced
372,RefMsgType,The MsgType of the FiX message being referenced
373,SessionRejectReason,Code to identify reasion for a seassion-level Reject message
7,BeginSeqNo,Message sequence number of first message in range to be resent
16,EndSeqNo,Message sequence number of last message in range to be resent
123,GapFillFlag,Indicates that the sequence reset message is replacing administrative or application message which will not be resent
36,NewSeqNo,New sequence number
112,TestReqID,Required when the heartbeat is the result of a test request message
379,BusinessRejectRefID,"The value of the business-level ""ID"" field on the message being referenced. Required unless the corresponding ID field was not specified"
380,BusinessRejectReason,Code to indentify reasion for a business message reject message. Code to identify reason for a business message reject message
11,ClOrdId,Order cancel or cancel/Replace message using the last used ClOrdID will also be rejected
41,OrigClOrdID,a FIX order is identified by either its current ClOrderId for each firm
37,OrderID,a FIX order is identified by either its current ClOrderId for the whole system
38,OrderQty,"Quantity ordered. This value represents the number of shares for equities or par, face or nominal value for fixed income instruments"
111,MaxFloor,Specifies the disclosed volume on hidden/iceberg orders
44,Price,"Required for all limit order types - not required for market orders, or yield based products"
40,OrdType,Indicates the type of order
59,TimeInForce,Indicates time in force techniques that are valid for the specified market segment. absence of this field indicates a day order
236,Yield,Yield percentage - This is the Yield equivalent of the price. Price and Yield are mutually exclusive
432,ExpireDate,Conditionally required if TimeInForce = GTD and expireTime is not specified
126,ExpireTime,"Conditionally required if TimeInForce = ""Good till Date/Time"""
1,Account,Specifies investor account
18,ExecInst,"Instructions for orden handling. Note for an AON order, the minimum quantity field must be equal to the total quantity"
54,Side,Side of the market (Buy or sell)
1102,TriggerPrice,
921,StartCash,"Used for the following repurchase orders, specifies the total value of the order"
234,StipulationValue,Value for stipulations
60,TransactTime,Time of order creation by trader. This field is nor processed by the exchange nor is it used as a mechanism to place an order at a future time 
110,MinQty,Specifies the minimum fill quantity
2679,OrderOwnershipIndicator,Change ownership of an order to specific party
39,OrdStatus,Describes the current status of the order
102,CxlRejReason,Code to identify reasion for cancel rejection
434,CxlRejResponseTo,Identifies the type of request that a Cancel Reject is in response to
790,OrdStatusReqID,"Optional, can be used to uniquely identify a specific order status request message"
1373,MassActionType,Specifies the type of action requested
1374,MassActionScope,Specifies the scope of the action
1369,MassActionReportID,Unique Identifies for the Order Mass Action report
1373,MassActionType,Specifies the type of mass action requested
1375,MassActionResponses,Indicates the action taken by the counterparty order handling system as a result of the action request
1376,MassActionRejectReasson,Indicates why order mass action request was rejected
